City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Seoul,KR,37.5683,126.9778,79.21,57,40,2.3,scattered clouds
302,Guiratinga,BR,-16.3494,-53.7583,79.09,49,41,1.43,scattered clouds
303,Sao Filipe,CV,14.8961,-24.4956,78.76,78,19,5.41,few clouds
304,Aljezur,PT,37.3191,-8.8033,61.63,89,99,7.14,overcast clouds
305,Carnarvon,AU,-24.8667,113.6333,68.07,60,90,11.5,overcast clouds
306,Jackson,US,42.4165,-122.8345,60.37,73,12,2.06,few clouds
307,Shimoda,JP,34.6667,138.95,82.76,83,93,1.68,overcast clouds
308,Boa Vista,BR,2.8197,-60.6733,80.58,78,20,0.0,few clouds
309,Hobyo,SO,5.3505,48.5268,79.09,79,64,17.58,broken clouds
310,Iracoubo,GF,5.4802,-53.2011,81.25,79,61,9.89,broken clouds
311,Costinesti,RO,43.95,28.6333,48.72,59,94,15.1,overcast clouds
312,Alofi,NU,-19.0595,-169.9187,76.89,78,76,17.27,broken clouds
313,Constitucion,CL,-35.3333,-72.4167,50.65,92,100,11.95,overcast clouds
314,Bongaree,AU,-27.0797,153.1586,87.53,44,12,7.36,few clouds
315,Asfi,MA,32.2994,-9.2372,68.13,83,0,12.41,clear sky
316,Waddan,LY,29.1614,16.139,73.62,59,88,8.1,overcast clouds
317,Poum,NC,-20.2333,164.0167,75.24,85,87,21.52,overcast clouds
318,Avera,US,33.194,-82.5271,71.65,75,75,6.42,broken clouds
319,Shaoxing,CN,30.011,120.5715,90.93,48,83,2.42,broken clouds
320,Salamanca,ES,40.8333,-6.0,58.62,59,97,3.67,overcast clouds
321,Laguna,US,38.421,-121.4238,76.23,40,1,0.0,clear sky
322,Bermeo,ES,43.4209,-2.7215,62.24,82,56,6.35,broken clouds
323,Trofors,NO,65.5333,13.4063,58.35,91,100,4.47,overcast clouds
324,Great Yarmouth,GB,52.6083,1.7305,47.95,81,99,9.55,overcast clouds
325,Ballina,AU,-28.8667,153.5667,80.78,38,40,14.97,scattered clouds
326,Bahia Honda,CU,22.9036,-83.1592,76.33,88,7,8.37,clear sky
327,Biskamzha,RU,53.4497,89.5272,36.0,88,100,8.43,light rain
328,Morgan City,US,29.6994,-91.2068,77.0,93,100,5.41,overcast clouds
329,Atambua,ID,-9.1061,124.8925,86.68,52,99,4.76,overcast clouds
330,Sevlievo,BG,43.0258,25.1136,44.01,78,86,2.3,overcast clouds
331,Iqaluit,CA,63.7506,-68.5145,28.13,86,1,3.44,clear sky
332,Olafsvik,IS,64.8945,-23.7142,43.48,86,100,23.15,overcast clouds
333,Fairbanks,US,64.8378,-147.7164,31.6,93,90,0.0,light snow
334,Labuhan,ID,-6.8844,112.2051,85.5,59,100,5.26,overcast clouds
335,Ust-Tsilma,RU,65.441,52.1498,33.31,94,28,1.68,scattered clouds
336,Najran,SA,17.4924,44.1277,70.45,29,77,2.21,broken clouds
337,Buraydah,SA,26.326,43.975,70.25,15,5,6.82,clear sky
338,Pozo Colorado,PY,-23.4923,-58.7972,80.58,60,99,10.02,overcast clouds
339,Almaznyy,RU,48.0448,40.045,41.14,59,0,8.32,clear sky
340,Zhangjiakou,CN,40.81,114.8794,64.74,58,41,7.94,scattered clouds
341,Ambovombe,MG,-25.1667,46.0833,74.68,59,0,6.4,clear sky
342,Cayenne,GF,4.9333,-52.3333,83.08,80,0,3.0,clear sky
343,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,90,9.22,mist
